Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/GuoGangQuan/ip.git,master,GuoGangQuan,,CS2103T-F12-1 GUO ..QUAN,,
https://github.com/SAKICHANNN/ip.git,master,SAKICHANNN,,CS2103T-T17-2 ZHOU..IRUN,hhvrfn,
https://github.com/huiyi-Al/ip.git,master,huiyi-Al,,CS2103T-T08-1 LIU ..IYUE,,
https://github.com/bananapielearnsjava/ip.git,master,bananapielearnsjava,,CS2103T-F11-1 LEW ..I YU,Lew Si Yu;Si Yu Lew,
https://github.com/Aryann-Sharma/ip.git,master,Aryann-Sharma,,CS2103T-W08-4 SHAR..NDRA,,
https://github.com/DavidShenJingtao/ip.git,master,DavidShenJingtao,,CS2103T-F15a-1 SHEN..GTAO,,
https://github.com/MousseDm/ip.git,master,MousseDm,,CS2103T-W12-4 DA J..XUAN,,
https://github.com/yyssophie/ip.git,master,yyssophie,,CS2103T-F15a-1 YUAN..YUSI,Yusi Yuan,
https://github.com/Lzkkuan/ip.git,master,Lzkkuan,,CS2103T-F12-2 LI Z..KUAN,,
https://github.com/fishee82oo/ip.git,master,fishee82oo,,CS2103T-F11-4 HUAN..YANG,Reineil,
https://github.com/WFYishere/ip.git,master,WFYishere,,CS2103T-F12-2 WEN ..ANYU,,
https://github.com/ary-ban/ip.git,master,ary-ban,,CS2103T-W12-3 BANS..AMAN,,
https://github.com/DJsudartha/ip.git,master,DJsudartha,,CS2103T-T17-2 DAVI..RTHA,,
https://github.com/vinncee/ip.git,master,vinncee,,CS2103T-F09-2 CHUA..INCE,vince,
https://github.com/YH-100203/ip.git,master,YH-100203,,CS2103T-F10-4 LIM ..HENG,,
https://github.com/louist3ng/ip.git,master,louist3ng,,CS2103T-T14-3 TENG..OUIS,,
https://github.com/Bosh1707/ip.git,master,Bosh1707,,CS2103T-T10-1 JOSH..ARAN,Joshua,
https://github.com/jeroylim/ip.git,master,jeroylim,,CS2103T-W10-4 JERO..ZHEN,,
https://github.com/hyhy987/ip.git,master,hyhy987,,CS2103T-F14a-1 SIE ..YANG,aureliony;lzq,
https://github.com/darzizalol/ip.git,master,darzizalol,,CS2103T-F13-1 FANG..GHAO,,
https://github.com/nicksonho/ip.git,master,nicksonho,,CS2103T-W11-4 NICK..HENG,nickson,
https://github.com/sabersmash1412/ip.git,master,sabersmash1412,,CS2103T-W14-1 ANNA..PPAN,Annamalai Maniveerappan,
https://github.com/algebananazzzzz/ip.git,master,algebananazzzzz,,CS2103T-W09-3 ZHOU..NIEL,danielp,
https://github.com/javierlimt6/ip.git,master,javierlimt6,,CS2103T-T16-3 JAVI..N YI,Javier Lim,
https://github.com/dnt0n/ip.git,master,dnt0n,,CS2103T-W11-2 DANT..TING,Danton,
https://github.com/yusen-luan/ip.git,master,yusen-luan,,CS2103T-F11-3 LUAN..USEN,,
https://github.com/williamoose/ip.git,master,williamoose,,CS2103T-W14-1 WILL..LIOW,aureliony;lzq,
https://github.com/coolprogrammer000/ip.git,master,coolprogrammer000,,CS2103T-W11-3 HE Y..YIDA,,
https://github.com/Miloepeng/ip.git,master,Miloepeng,,CS2103T-F11-2 YEO ..HENG,,
https://github.com/isaactoh/ip.git,master,isaactoh,,CS2103T-W11-3 TOH ..SAAC,,
https://github.com/Mathew270/ip.git,master,Mathew270,,CS2103T-F12-4 MATH..PAUL,Mathew,
https://github.com/eltry42/ip.git,master,eltry42,,CS2103T-F09-4 ELDR..E NG,Eldridge,
https://github.com/samueltann/ip.git,master,samueltann,,CS2103T-W13-4 SAMU.. JIE,Samuel,
https://github.com/xxdydx/ip.git,master,xxdydx,,CS2103T-T16-3 R AR..ARAN,Arul,
https://github.com/rizrn/ip.git,master,rizrn,,CS2103T-F15b-2 JASO.. LIM,Jason Lim,
https://github.com/rahulmllvrp/ip.git,master,rahulmllvrp,,CS2103T-T12-4 RAHU..RAPU,Rahul Mallavarapu,
